Compositions	Youngs_Modulus_GPa	Shear_Modulus_GPa	Bulk_Modulus_GPa	density
(Fe0.75B0.15Si0.1)96Nb4	175	None	None	None
Co74B20Fe6	175	67	163	8.12
Co76.5B23.5	175	None	None	None
Fe71.5B25.5Si3	175	None	None	None
Fe74B23Si3	175	None	None	None
Co74Fe6B20	175	66.7	162	None
Fe64Cr3Mo10P10C10B3	176	66	174	None
Fe66Mo10P12C10B2	176	66.1	176	None
Fe66Mo10P12C10B2	176	66.1	176	None
Co80B20	176	None	None	8.22
Fe66Cr3Mo10P8C10B3	177	66.5	172	None
Fe65Cr2Mo9P10C8B6	177	66.8	174	None
Fe65.5Cr4Mo4Ga4P12C5B5.5	177	None	None	None
Fe66Cr3Mo14C15B6	177	None	None	None
Fe63Cr3Mo10P12C10B2	178	65.3	178	None
Fe63Cr3Mo10P12C10B2	178	65.3	178	None
Fe75B25	178	None	None	7.27
Fe70Mo5P10C10B5	179	None	None	None
Fe65Ni5Mo5P10C10B5	179	None	None	None
Co75B25	179.4	None	None	None
Fe68Cr3Mo10P6C10B3	180	67.7	172	None
(Fe0.75B0.2Si0.05)96Nb4	180	None	None	None
(Fe0.75B0.2Si0.05)96Nb4	180	None	None	None
Fe55Co10Ni5Mo5P10C10B5	180	None	None	None
Co74B26	180	None	None	None
Fe77Ga3P9.5C4B4Si2.5	182	None	None	None
Fe77Ga3P9.5C4B4Si2.5	182	None	None	None
Fe63Cr3Mo12P10C7B5	183	68.8	179	None
Ni60Nb35Sn5	183	54.1	None	None
Ni60Nb35Sn5	183.7	None	None	None
Ni60Nb33.8Sn6.2	184	54.8	None	None
Fe76P5(Si0.3B0.5C0.2)19	185	None	None	None
Fe69B28S3	185	None	None	None
Ni60Nb33.1Sn6.9	185	55	None	None
Co70.4Si15B10Fe4.8	187	None	None	None
[(Fe0.9Co0.1)0.75B0.2Si0.05]96Nb4	190	None	None	None
((Fe0.9Co0.1)0.75B0.2Si0.05)96Nb4	190	None	None	None
Fe71.2B24Y4.8	190	None	None	None
(Fe71.2B24Y4.8)98Nb2	190	None	None	None
(Fe60Cr10Mo9C13B6Er2)95Cu5	191.3	72.8	171.4	7.921
Fe48Cr15Mo14C15B6Er2	192	None	None	None
(Fe0.9Co0.1)64.25Mo14C15B6Er0.75	192	73	175	None
(Fe0.9Co0.1)64.5Mo14C15B6Er0.5	192	73	175	None
Fe61Mn10Cr4Mo6Er1C15B6	193	75	146	None
Fe61Mn10Cr4Mo6Er1C15B6	193	75	None	6.89
(Fe0.9Co0.1)64.875Mo14C15B6Er0.125	193	73	178	None
(Fe0.9Co0.1)64.75Mo14C15B6Er0.25	193	73	175	None
Fe61Mn10Cr4Mo6C15B6Er1	193	75	146	None
Fe71Nb6B23	194	73.4	182.6	7.423
(Fe60Cr10Mo9C13B6Er298) In2	194.1	76.3	142.2	7.752
Fe53Cr15Mo14Er1C15B6	195	75	180	None
Fe53Cr15Mo14Er1C15B6	195	75	None	6.92
(Fe0.9Co0.1)64.5Mo14C15B6Er0.5	195	74	177	None
Fe65Mo14C15B6	195	73.2	192	None
Fe65Mo14C15B6	195	None	195	None
Fe53.25Ni17.75Nb6B23	195	73.4	186.5	7.667
(Fe71.2B24Y4.8)96Nb4	195	None	None	None
(Fe0.9Co0.1)64Mo14C15B6Er1	196	73	177	None
Fe65Cr9Mo8C10B6Er2	196	75	164	None
[(Fe0.5Ni0.5)0.75B0.2Si0.05]96Nb4	197	None	None	None
Ni60Nb37Sn3	199	58.6	None	None
(Fe60Cr10Mo9C13B6Er2)95Ni5	199.2	76.6	166.6	7.934
Fe48Cr15Mo14Er2C15B6	200	None	None	None
Fe50Mn10Mo14Cr4C16B6	200	76.1	180	None
(Fe0.9Co0.1)58.5Cr6Mo14C15B6Er0.5	200	76.2	190	None
Fe72B20Si4Nb4	200	None	None	None
Fe51Mn10Mo14Cr4C15B6	200	76.1	180	None
Fe72Si4B20Nb4	200	None	None	None
Fe60.5Cr4Mo14C15B6Er0.5	202	76.6	184	None
[(Fe0.6Ni0.4)0.75B0.2Si0.05]96Nb4	203	None	770	None
(Fe60Cr10Mo9C13B6Y2)98V2	203.7	78.1	172.7	7.714
Fe59Cr6Mo14C15B6	204	77.3	188	None
Fe63Mo14C15B6Er2	204	77.8	178	None
(Fe60Cr10Mo9C13B6Er2)95Be5	204.4	78.8	167.9	7.628
[(Fe0.8Co0.2)0.75B0.2Si0. 05]96Nb4	205	None	None	None
[(Fe0.8Co0.2)0.75B0.2Si0.05]96Nb4	205	None	None	None
[(Fe0.8Co0.2)0.75B0.2Si0.05]96Nb4	205	None	None	None
[(Fe0.6Co0.1Ni0.3)0.75B0.2Si0.05]96Nb4	205	None	None	None
Fe60Cr10Mo9C13B6Er2	205	79.2	169	None
(Fe71.2B24Y4.8)94Nb6	205	None	None	None
Fe36Co36B19.2Si4.8Nb4	205	None	None	None
(Fe60Cr10Mo9C13B6Er2)98Be2	205.1	79.2	167.2	7.813
Fe60Cr10Mo9C13B6Er2	205.5	79.2	169.1	7.916
(Fe60Cr10Mo9C13B6Er2)98Pb2	206.7	79.6	170.7	7.977
[(Fe0.8Co0.1Ni0.1)0.75B0.2Si0.05]96Nb4	208	None	None	None
[(Fe0.8Co0.1Ni0.1)0.75B0.2Si0.05]96Nb4	208	None	818	None
[(Fe0.8Co0.1Ni0.1)0.75B0.2Si0.05]96Nb4	208	None	None	None
Fe49Cr15Mo14C19B2Er1	209	78.8	199	None
Fe55Cr8Mo14C15B6Er2	209	80	180	None
[(Fe0.7Co0.3)0.75B0.2Si0.05]96Nb4	210	None	None	None
[(Fe0.6Co0.4)0.75B0.2Si0.05]96Nb4	210	None	None	None
[(Fe0.5Co0.5)0.75B0.2Si0.05]96Nb4	210	None	None	None
[(Fe0.6Co0.2Ni0.2)0.75B0.2Si0.05]96Nb4	210	None	None	None
[(Fe0.6Co0.3Ni0.1)0.75B0.2Si0.05]96Nb4	210	None	None	None
[(Fe0.5Ni0.5)0.75B0.2Si0.05]96Nb4	210	None	None	None
Fe49Cr15Mo14C18B3Er1	210	80.2	200	None
((Fe0.7Co0.3)0.75B0.2Si0.05)96Nb4	210	None	None	None
((Fe0.6Co0.4)0.75B0.2Si0.05)96Nb4	210	None	None	None
(Fe71.2B24Y4.8)92Nb8	210	None	None	None
Fe48Cr15Mo14C15B6Er2	213	80.8	192	None
Fe48Cr15Mo14C15B6Er2	213	81	195	None
Fe49Cr15Mo14C15B6Er1	215	81.9	200	None
Fe72Al14B14	215	None	None	None
[(Fe0.8Ni0.2)0.75B0.2Si0.05]96Nb4	215	None	None	None
Fe48Mo14Cr15Y2C15B6	215	81.7	196	None
Fe50Cr15Mo14C15B6	217	82	204	None
Fe48Cr15Mo14C15B6Er2	218.9	83.6	191	7.849
Fe36Co36B19.2Si4.8Nb4	219	None	None	None
Fe49Cr15Mo14C13B8Er1	220	82.5	201	None
Fe41Co7Cr15Mo14C15B6Y2	220.2	84.1	192.5	7.904
Fe36Co36B19.2Si4.8Nb4	221.6	None	None	None
Zr57Nb5Cu15.4Ni12.6Al10	221.7	88.3	None	14.3
Fe61Zr8Y2Co6Mo7Al1B15	222	None	None	None
Fe61Zr8Y2Co6Mo7Al1B15	222	None	None	None
Fe48Cr15Mo14C15B6Er2	224	85.8	191.9	7.897
Fe64Cr10Mo9C15Er2	224.9	88.2	166.8	7.994
Fe64Cr10Mo9C15Er2	225	88	167	None
[(Co0.535Fe0.1Ta0.055B0.31)0.98Mo0.02]98Si2	227	None	None	None
W46Ru37B12Si5	229	None	None	None
Zr57Nb5Cu15.4Ni12.6Al10	230.4	87.9	None	15.2
[(Co0.535Fe0.1Ta0.055B0.31)0.98Mo0.02]99Si1	238	None	None	None
Co57Ta8B35	240.1	91.3	216.5	9.178
Co58Ta7B35	240.6	91.5	215.7	8.96
Co56Ta9B35	240.6	91.5	None	None
Co58Ta7B35	240.6	91.5	215.7	8.96
Co56Ta9B35	246.9	93.8	224.1	9.265
Co56Ta9B35	246.9	93.8	224.1	9.285
(Fe44.3Cr5Co5Mo12.8Mn11.2C15.8B5.9)98.5Y1.5	257	None	None	None
(Fe44.3Cr5Co5Mo12.8Mn11.2C15.8B5.9)98.5Y1.5	257.1	None	None	None
W45Ru36B17Hf2	262	None	None	None
Fe41Co7Cr15Mo14Y2C15B6	265	None	None	None
Co43.5Fe20Ta5.5B31.5	268	None	None	None
Co43Fe20Ta5.5B31.5 	268	None	None	None
Co43Fe20Ta5.5B31.5	268	None	None	None
Zr57Nb5Cu15.4Ni12.6Al10	268.2	101.1	None	15.44
Zr57Nb5Cu15.4Ni12.6Al10	269.6	103.2	None	15.67
Co43Fe20Ta5.5B31.5 	273	None	None	None
(Co0.535Fe0.1Ta0.055B0.31)98Mo2	282	None	None	None
CoFeTaBMo	282	None	None	None
Co43.5Ta6.1B50.4	295	None	None	None
W46Ru37B17	309	None	None	None
W46Ru37B17	309	None	None	None
Al88Ni9Ce2Fe1	70	None	None	None
Pt60Cu16Co2P22	96	None	None	None
Zr58Co26Al16	106.5	39	133.5	None
Ti42.5Cu41Ni9Zr7.5	108	None	None	None
Zr57Co27Al16	108.1	39.5	136.6	None
Zr56Co28Al16	109.6	40.1	136.8	None
Zr54Co30Al16	110.7	40.5	138.6	None
Zr52Co32Al16	113.5	41.5	142.6	None
Zr51Co33Al16	114.5	41.9	142.6	None
Ti42.5Cu42.5Ni7.5Zr7.5	124	None	None	None
Fe65.5Cr4Mo4Ga4P12C5B5.5	149.7	58.5	113.4	7.3
CoCrMo	232	None	None	None
Ti45Cu39Ni11Zr5	46	None	None	None
Ti45Cu41Ni9Zr5	72	None	None	None
Zr70Cu12.5Ni10Al7.5Ti0	72.5	26.2	0.9	None
Zr69Cu12.5Ni10Al7.5Ti1	72.9	26.5	0.7	None
Zr68Cu12.5Ni10Al7.5Ti2	73.5	26.7	1.1	None
Zr66Cu12.5Ni10Al7.5Ti4	73.6	26.6	0.2	None
Zr64Cu12.5Ni10Al7.5Ti6	74.2	27	0.8	None
Zr62Cu12.5Ni10Al7.5Ti8	74.9	27.44	0.4	None
Ti45Cu39Ni11Zr5	78	None	None	None
Pd39Ni10Cu30P21	98.6	35.3	159.4	9.152
